customer_id,status,residence_rent_or_own,monthly_rent_amount,bank_account_direct_deposit,application_when,loan_duration,payment_ach,num_payments,address_zip,bank_routing_number,home_phone_type,monthly_income_amount,raw_l2c_score,raw_FICO_telecom,raw_FICO_retail,raw_FICO_bank_card,raw_FICO_money
92e08ae66b,Approved,TRUE,750,TRUE,3/1/2011 14:43,8,TRUE,13,84401,324377516,Mobile,3500,718,594,589,649,582
2e87ce0cd1,Approved,TRUE,525,TRUE,3/2/2011 13:03,5,TRUE,10,84606,124000054,Mobile,670,719,571,639,649,617
198d721eea,Approved,TRUE,575,TRUE,3/2/2011 17:15,3,TRUE,6,57745,91408598,Mobile,2200,719,647,687,705,600
e1a510cf21,Approved,TRUE,400,FALSE,3/3/2011 4:19,8,TRUE,6,84057,124302914,Mobile,800,616,526,555,618,571
6ec6b5510f,Approved,TRUE,795,TRUE,3/3/2011 16:21,8,TRUE,6,83706,124103799,Mobile,4141,705,513,519,640,585
0496faadcc,Approved,FALSE,1120,TRUE,3/4/2011 13:22,6,TRUE,6,83706,324172562,Mobile,3500,763,627,650,667,643
48bb9ada7a,Approved,FALSE,601,TRUE,3/4/2011 17:49,8,TRUE,13,83864,123171955,Home,1500,583,536,543,673,576
8b4cad490a,Approved,TRUE,650,FALSE,3/5/2011 6:39,8,TRUE,13,83605,123103716,Mobile,1100,645,518,536,621,582
4b0efc13d5,Approved,TRUE,900,TRUE,3/5/2011 14:13,6,TRUE,12,84084,44000804,Mobile,4400,762,544,547,680,569
f3b30eacf4,Approved,TRUE,850,TRUE,3/5/2011 19:59,8,TRUE,17,84078,124002971,Mobile,5800,530,541,602,596,595
cb6079f063,Approved,FALSE,558,TRUE,3/6/2011 22:55,5,TRUE,10,84404,324377613,Home,4032,492,568,587,680,628
4f9832ab95,Approved,TRUE,640,TRUE,3/7/2011 8:40,5,TRUE,10,84401,53904483,Mobile,3080,708,587,631,672,605
4c203dce81,Approved,FALSE,0,TRUE,3/7/2011 8:56,5,TRUE,5,57058,91400680,Home,1504,596,550,539,668,578
dd33da2634,Approved,TRUE,750,TRUE,3/7/2011 10:12,6,TRUE,12,84074,324379828,Mobile,2360,538,522,509,631,586
16974da9d2,Approved,FALSE,377,TRUE,3/7/2011 12:14,5,TRUE,5,84041,324079555,Home,2800,757,583,598,680,605
dce2dddbe1,Approved,TRUE,400,TRUE,3/7/2011 22:19,8,TRUE,13,83712,123103716,Mobile,1700,542,617,634,712,592
18a3de5c4e,Approved,FALSE,829,FALSE,3/8/2011 14:07,6,TRUE,13,83605,124103799,Mobile,2197,499,509,508,642,570
4ad60935b0,Approved,FALSE,1100,FALSE,3/8/2011 16:16,5,TRUE,10,57445,91407803,Mobile,7600,765,601,641,671,627
854656e5ae,Approved,TRUE,250,FALSE,3/8/2011 16:45,7,TRUE,12,84118,124001545,Mobile,1400,555,518,507,615,583
a03771ac8f,Approved,FALSE,500,TRUE,3/9/2011 2:57,4,TRUE,8,57106,291479987,Mobile,1640,677,555,583,668,594
386efbfec9,Approved,FALSE,0,TRUE,3/9/2011 8:50,5,TRUE,5,57709,91400046,Mobile,1438,290,610,648,693,627
913cc5d28c,Approved,TRUE,100,TRUE,3/9/2011 10:27,5,TRUE,5,84039,324079555,Home,665,670,530,563,670,583
6682454493,Approved,FALSE,850,TRUE,3/9/2011 12:38,5,TRUE,10,57311,291479903,Mobile,2800,771,599,657,689,617
7c87a6e8fb,Approved,TRUE,1100,TRUE,3/9/2011 13:25,8,TRUE,13,84005,124002971,Mobile,2400,616,573,565,658,615
f3fc8fe47c,Approved,FALSE,0,TRUE,3/9/2011 15:45,3,TRUE,6,84512,324376711,Mobile,2008,716,556,583,680,621
ee7e6942c9,Approved,TRUE,300,FALSE,3/9/2011 17:55,4,TRUE,8,57248,91408035,Mobile,1080,521,615,664,725,609
1feb90df44,Approved,TRUE,375,TRUE,3/9/2011 18:01,5,TRUE,5,84660,324377820,Mobile,1300,585,581,634,663,616
83a8fb7a7b,Approved,TRUE,739,TRUE,3/9/2011 19:06,8,TRUE,13,84119,124302150,Mobile,1350,616,501,501,501,546
0ed287a5a0,Approved,TRUE,325,TRUE,3/9/2011 20:22,6,TRUE,13,57201,91408734,Mobile,5400,713,564,568,636,579
bf63ea5ae7,Approved,TRUE,200,TRUE,3/10/2011 3:38,8,TRUE,13,83854,325070760,Mobile,2600,584,501,555,663,560
a4c59d3ddc,Approved,TRUE,325,TRUE,3/10/2011 11:24,8,TRUE,6,83704,124103799,Mobile,1300,616,501,501,602,572
8fb5c17407,Approved,FALSE,0,FALSE,3/10/2011 14:07,5,TRUE,10,83202,324173079,Home,1612,410,604,657,700,637
34bfacce90,Approved,TRUE,275,TRUE,3/10/2011 21:41,5,TRUE,5,57069,91400680,Mobile,1600,716,570,618,596,571
49d66b397b,Approved,TRUE,450,TRUE,3/10/2011 23:23,8,TRUE,17,84106,124001545,Mobile,3200,521,609,632,644,637
c2574704fe,Approved,TRUE,400,FALSE,3/11/2011 9:35,5,TRUE,10,84111,124001545,Mobile,600,638,580,620,641,600
f4303aa63e,Approved,FALSE,1450,TRUE,3/12/2011 0:33,8,TRUE,8,84043,124301025,Mobile,3300,785,573,561,680,619
593aa244cd,Approved,TRUE,1500,TRUE,3/12/2011 8:51,3,TRUE,6,84058,124002971,Mobile,4100,544,612,619,627,605
49db48aa10,Approved,TRUE,725,TRUE,3/12/2011 14:09,5,TRUE,10,83706,123171955,Work,3400,582,604,622,670,613
e1d353d5a7,Approved,FALSE,300,TRUE,3/12/2011 22:34,3,TRUE,3,83318,124103799,Mobile,2356,735,593,653,687,639
3849ce77ad,Approved,FALSE,325,TRUE,3/13/2011 7:43,5,TRUE,5,83858,123171955,Home,1172,765,531,543,680,591
