customer_id,status,residence_rent_or_own,monthly_rent_amount,bank_account_direct_deposit,application_when,loan_duration,payment_ach,num_payments,address_zip,bank_routing_number,home_phone_type,monthly_income_amount,raw_l2c_score,raw_FICO_telecom,raw_FICO_retail,raw_FICO_bank_card,raw_FICO_money
9ece67d6c5,Approved,TRUE,0,TRUE,10/16/2010 14:06,3,TRUE,6,84118,124001545,Mobile,1560,614,574,600,656,561
5c2c402094,Approved,TRUE,0,FALSE,10/17/2010 13:01,6,TRUE,13,84062,124000054,Mobile,900,708,501,550,651,563
e6254cad30,Approved,TRUE,620,TRUE,10/17/2010 19:52,6,TRUE,13,84119,124001545,Mobile,1434,687,522,561,661,598
49fb42f51d,Approved,FALSE,785,FALSE,10/18/2010 7:05,4,TRUE,8,84405,124002971,Mobile,1600,616,560,552,634,591
195fbe5739,Approved,TRUE,700,TRUE,10/19/2010 10:58,4,TRUE,8,84404,124002971,Mobile,1360,681,603,654,659,636
b5286ff5b4,Approved,FALSE,1600,TRUE,10/21/2010 21:21,4,TRUE,4,84020,324079500,Mobile,4900,716,573,571,680,620
d06841c8cf,Approved,TRUE,865,TRUE,10/23/2010 19:52,4,TRUE,4,84404,324377516,Mobile,3200,486,580,627,659,627
90e4cdc381,Approved,TRUE,1000,TRUE,10/24/2010 16:05,2,TRUE,4,84020,124000054,Mobile,2200,530,537,508,551,583
c1a1065b7a,Approved,TRUE,169,TRUE,10/26/2010 11:22,4,TRUE,4,84116,324079555,Home,1200,645,532,560,680,594
0dba6b011d,Approved,TRUE,1265,TRUE,10/27/2010 14:12,6,TRUE,13,84095,124001545,Mobile,4160,586,527,525,637,592
96acbba7ed,Approved,FALSE,1175,TRUE,10/27/2010 19:10,4,TRUE,8,84319,324377516,Mobile,5326,564,526,547,677,598
289421d82a,Approved,FALSE,0,TRUE,10/28/2010 7:50,6,TRUE,12,84118,122238585,Home,2200,663,501,501,623,531
757f469cbe,Approved,TRUE,720,TRUE,10/28/2010 18:50,4,TRUE,17,84015,324377613,Mobile,2400,523,501,501,501,501
ae03151fee,Approved,TRUE,190,TRUE,10/30/2010 11:53,6,TRUE,13,84321,124002971,Mobile,1200,712,585,663,711,603
4ad5645ab4,Approved,TRUE,0,FALSE,10/31/2010 21:00,4,TRUE,17,84070,61120000,Mobile,1920,765,654,675,728,625
1d5ef602c4,Approved,TRUE,860,FALSE,10/31/2010 21:43,4,TRUE,8,84119,21409169,Home,1200,252,501,535,628,544
c4031886fc,Approved,TRUE,300,TRUE,11/1/2010 9:59,6,TRUE,12,84720,124002971,Mobile,1160,734,614,642,693,583
6a0eee2c2f,Approved,TRUE,750,TRUE,11/1/2010 11:39,6,TRUE,13,84010,324377516,Mobile,9000,537,592,644,667,630
a91c516d95,Approved,TRUE,650,TRUE,11/1/2010 17:50,6,TRUE,13,84124,31101169,Mobile,600,645,501,501,649,557
f0ad440808,Approved,TRUE,635,TRUE,11/1/2010 19:08,6,TRUE,26,84501,124000054,Mobile,3600,557,525,538,648,599
b4f2e3f3a3,Approved,TRUE,889,TRUE,11/2/2010 20:17,6,TRUE,12,84015,324377516,Mobile,2580,602,559,606,652,606
f51a0a7f1e,Approved,TRUE,0,TRUE,11/3/2010 8:03,6,TRUE,13,84401,124303065,Mobile,429,616,501,555,622,587
16ae98338a,Approved,TRUE,650,TRUE,11/3/2010 16:58,6,TRUE,12,84103,124002971,Mobile,4500,716,524,540,664,580
b65c5bf553,Approved,TRUE,700,TRUE,11/4/2010 9:23,8,TRUE,13,84123,211382850,Mobile,4200,530,573,600,596,600
2345f147a8,Approved,FALSE,0,TRUE,11/4/2010 10:09,7,TRUE,15,84088,122100024,Mobile,1200,733,518,550,614,575
ae74ebdb3a,Approved,TRUE,1100,TRUE,11/4/2010 10:24,5,TRUE,5,84103,324079474,Home,3007,771,570,560,680,611
e55a9a7293,Approved,TRUE,750,TRUE,11/4/2010 22:34,5,TRUE,10,84123,324377516,Mobile,5260,645,556,556,669,604
790388f19a,Approved,TRUE,0,TRUE,11/6/2010 0:32,5,TRUE,10,84003,124302150,Mobile,2400,544,611,609,680,617
d8583e2e58,Approved,TRUE,0,TRUE,11/6/2010 5:35,5,TRUE,10,84095,324379828,Mobile,1200,638,534,549,618,560
161bfb5807,Approved,TRUE,89,TRUE,11/6/2010 23:29,5,TRUE,10,84067,124002971,Mobile,1120,762,543,563,639,598
59c2cf163e,Approved,TRUE,800,TRUE,11/8/2010 13:08,5,TRUE,5,84120,101089742,Home,2100,661,535,576,676,593
7d724fba2a,Approved,TRUE,400,TRUE,11/8/2010 13:28,5,TRUE,5,84721,114924742,Mobile,1100,716,517,520,605,564
cc53bd5220,Approved,TRUE,220,TRUE,11/10/2010 15:03,5,TRUE,10,84532,324377286,Home,4000,765,542,580,671,620
213c714e9f,Approved,FALSE,1143,TRUE,11/10/2010 15:35,3,TRUE,13,84655,124002971,Mobile,3652,586,580,569,680,627
cfe9e0dc5e,Approved,FALSE,891,TRUE,11/10/2010 23:30,5,TRUE,5,84062,324377516,Mobile,1500,600,622,659,698,656
f6bdc68cf8,Approved,TRUE,0,TRUE,11/13/2010 13:36,5,TRUE,10,84057,51000017,Mobile,2400,541,531,547,680,582
38e888a4db,Approved,TRUE,129,TRUE,11/13/2010 14:58,5,TRUE,5,84088,124002971,Mobile,1718,734,543,570,654,598
063080fb2b,Approved,TRUE,800,TRUE,11/13/2010 20:32,5,TRUE,5,84120,101089742,Home,2100,661,535,576,676,593
096f7fdd06,Approved,TRUE,0,FALSE,11/15/2010 16:00,8,TRUE,12,84095,122238585,Mobile,960,642,502,503,648,534
c814f62edd,Approved,TRUE,400,TRUE,11/15/2010 17:14,5,TRUE,21,84118,125000105,Mobile,1400,581,507,535,614,586
3744b9845d,Approved,FALSE,1172,TRUE,11/15/2010 17:14,5,TRUE,5,84404,124002971,Home,4191,766,618,623,680,631
b86063bf54,Approved,FALSE,960,TRUE,11/15/2010 18:47,5,TRUE,5,84041,324377613,Home,3400,591,607,612,680,640
61ac7c10c7,Approved,TRUE,550,FALSE,11/16/2010 15:34,5,TRUE,10,84404,31101169,Mobile,1200,765,533,542,654,560
2a2617c97d,Approved,FALSE,1100,TRUE,11/16/2010 19:56,5,TRUE,10,84040,124001545,Mobile,4000,765,624,659,700,641
d312d7c101,Approved,TRUE,200,TRUE,11/17/2010 16:15,7,TRUE,15,84098,124000737,Mobile,3376,808,528,550,680,601
4ccdce892b,Approved,TRUE,871,TRUE,11/18/2010 7:19,5,TRUE,10,84096,324079555,Mobile,2040,716,540,553,650,612
7709edf805,Approved,TRUE,0,TRUE,11/18/2010 22:50,8,TRUE,12,84037,324377516,Mobile,2000,768,648,649,713,594
03bff4b96f,Approved,TRUE,700,TRUE,11/19/2010 13:34,5,TRUE,10,84721,324079555,Mobile,1600,544,574,584,671,612
2061a0ba7e,Approved,FALSE,1100,TRUE,11/19/2010 18:18,5,TRUE,10,84115,324377516,Mobile,3990,601,630,657,705,651
b158a1fb49,Approved,FALSE,0,TRUE,11/21/2010 4:22,5,TRUE,21,84655,31100209,Mobile,1200,716,514,532,647,566
3dab7661bc,Approved,TRUE,635,TRUE,11/21/2010 15:24,6,TRUE,26,84501,124000054,Mobile,3000,719,525,538,648,599
84e158c07c,Approved,TRUE,0,TRUE,11/21/2010 23:54,5,TRUE,5,84003,124302150,Mobile,1700,544,611,609,680,617
b3f8618085,Approved,TRUE,180,TRUE,11/22/2010 0:05,5,TRUE,10,84302,124002971,Mobile,1952,550,572,599,648,607
de3f3759c5,Approved,FALSE,1508,TRUE,11/22/2010 6:55,5,TRUE,10,84093,324377613,Mobile,5600,603,564,564,680,618
a58918ea5f,Approved,FALSE,0,TRUE,11/22/2010 7:44,6,TRUE,26,84092,324377516,Mobile,2000,638,558,605,680,617
438f15880d,Approved,FALSE,0,TRUE,11/22/2010 8:58,6,TRUE,13,84093,124000737,Home,3000,612,527,515,656,583
6b0eb405a9,Approved,FALSE,0,TRUE,11/22/2010 8:59,8,TRUE,13,84014,324078899,Mobile,1934,547,565,597,680,596
2bb71af254,Approved,TRUE,450,TRUE,11/22/2010 22:01,8,TRUE,12,84115,324377202,Home,1600,713,532,598,580,589
a5dc7f28a0,Approved,TRUE,715,TRUE,11/23/2010 4:52,6,TRUE,6,84047,324079555,Mobile,2044,621,501,501,597,580
69ab210ca1,Approved,TRUE,1065,TRUE,11/23/2010 15:19,5,TRUE,10,84088,324377516,Mobile,3066,589,535,535,648,604
eeec4eb4da,Approved,TRUE,150,TRUE,11/24/2010 16:16,5,TRUE,5,84128,124001545,Mobile,2351,763,526,544,660,561
651bfa844b,Approved,TRUE,625,TRUE,11/24/2010 21:16,8,TRUE,13,84105,324377516,Mobile,1400,716,501,536,618,543
670150fcc4,Approved,TRUE,0,FALSE,11/26/2010 7:25,5,TRUE,10,84096,124302150,Mobile,900,541,535,579,680,608
6856486a4f,Approved,TRUE,400,FALSE,11/26/2010 9:39,5,TRUE,21,84526,124000737,Mobile,2000,745,501,548,644,558
5974458fa5,Approved,TRUE,400,TRUE,11/27/2010 6:20,5,TRUE,21,84096,324377516,Mobile,2240,544,586,596,664,592
4ffa8ffab7,Approved,TRUE,750,TRUE,11/27/2010 22:19,5,TRUE,21,84120,124002971,Mobile,4000,716,507,520,660,557
32afdd828f,Approved,TRUE,650,FALSE,11/29/2010 4:42,5,TRUE,10,84104,73972181,Mobile,1400,763,522,535,647,576
39e522717c,Approved,TRUE,0,TRUE,11/29/2010 8:17,8,TRUE,13,84067,124002971,Mobile,1200,546,559,616,643,601
8786986d4c,Approved,TRUE,700,FALSE,11/29/2010 11:22,3,TRUE,6,84020,124000054,Mobile,2700,660,549,565,663,585
831b70959f,Approved,FALSE,1500,TRUE,11/30/2010 10:27,5,TRUE,21,84110,123545978,Mobile,2400,50,222,222,222,222
90901a8096,Approved,TRUE,530,TRUE,11/30/2010 14:33,3,TRUE,3,84128,324377516,Mobile,900,732,516,557,656,583
831105c88c,Approved,TRUE,475,FALSE,11/30/2010 22:05,5,TRUE,21,84118,122238585,Home,2400,541,510,539,630,589
b428a201ef,Approved,FALSE,600,TRUE,12/1/2010 9:33,5,TRUE,10,84066,324379705,Mobile,1400,574,560,581,680,616
35f2509873,Approved,TRUE,600,TRUE,12/2/2010 8:20,6,TRUE,13,84660,324379763,Mobile,2042,544,618,657,708,639
669311c476,Approved,FALSE,0,TRUE,12/3/2010 17:10,5,TRUE,10,84120,124001545,Mobile,3152,577,501,525,632,564
a229b97fcc,Approved,TRUE,200,TRUE,12/4/2010 13:47,6,TRUE,12,84088,324377202,Mobile,2200,734,544,556,680,589
a7e545c03d,Approved,TRUE,400,TRUE,12/4/2010 19:18,5,TRUE,10,84084,124002971,Mobile,1600,716,546,540,657,590
ce9b5c8623,Approved,TRUE,635,TRUE,12/6/2010 18:51,8,TRUE,17,84120,124000054,Mobile,1514,713,522,548,622,607
3c3a9ad8e8,Approved,FALSE,0,FALSE,12/7/2010 10:54,6,TRUE,13,84501,324079539,Mobile,1100,719,621,692,731,618
021b03f1b5,Approved,TRUE,1250,TRUE,12/8/2010 18:56,5,TRUE,21,84606,324079500,Home,6000,663,618,682,703,630
7a8b40eb75,Approved,FALSE,450,TRUE,12/9/2010 9:42,5,TRUE,10,84118,124002971,Mobile,2200,661,547,580,676,612
07e2ff471b,Approved,TRUE,300,TRUE,12/9/2010 9:55,8,TRUE,34,84044,324377202,Mobile,1550,733,557,587,656,604
b4c59c7612,Approved,TRUE,600,TRUE,12/9/2010 13:06,5,TRUE,10,84015,324377516,Mobile,2460,530,599,644,673,627
e13fec332e,Approved,FALSE,1000,TRUE,12/10/2010 22:08,8,TRUE,13,84067,124001545,Mobile,2200,612,679,718,756,618
5d30f10075,Approved,FALSE,1050,TRUE,12/11/2010 11:31,8,TRUE,16,84067,324377516,Mobile,4800,765,614,655,684,627
3b7cef3bf7,Approved,TRUE,500,FALSE,12/12/2010 10:31,8,TRUE,12,84119,124001545,Mobile,2200,759,531,579,608,559
68283e555e,Approved,TRUE,200,TRUE,12/11/2010 12:29,8,TRUE,13,84044,324377516,Home,1800,559,550,635,631,592
88bc9b54ef,Approved,FALSE,250,TRUE,12/11/2010 13:46,5,TRUE,5,84404,73972181,Home,2102,599,568,588,659,580
e1e9512a7a,Approved,TRUE,425,TRUE,12/11/2010 13:58,5,TRUE,10,84123,324379828,Mobile,1800,734,515,501,632,567
8933adf997,Approved,TRUE,800,TRUE,12/11/2010 23:31,4,TRUE,17,84120,324377516,Mobile,1980,582,561,599,680,633
c701d6ea24,Approved,TRUE,850,TRUE,12/12/2010 14:49,5,TRUE,10,84118,124002971,Mobile,1900,639,534,607,608,558
d197fd3d12,Approved,TRUE,900,TRUE,12/13/2010 7:21,5,TRUE,10,84075,124000737,Home,3400,602,603,643,671,606
8be01a4e5b,Approved,TRUE,0,TRUE,12/13/2010 12:47,5,TRUE,21,84065,122244171,Mobile,1200,664,509,517,564,588
5a7c6c7fd9,Approved,FALSE,1400,TRUE,12/13/2010 14:54,5,TRUE,10,84074,324379828,Mobile,3100,678,569,585,680,631
4801b08d2c,Approved,FALSE,676,TRUE,12/14/2010 8:22,5,TRUE,10,84414,124001545,Mobile,2392,780,559,540,660,581
3e7ae01d2f,Approved,FALSE,1216,TRUE,12/14/2010 12:06,5,TRUE,5,84414,124000054,Home,4703,542,603,590,680,637
43f95271b3,Approved,TRUE,500,TRUE,12/14/2010 15:36,8,TRUE,17,84117,324079555,Mobile,3780,765,632,650,705,627
b3f9914dbb,Approved,TRUE,500,TRUE,12/14/2010 19:41,8,TRUE,13,84043,124302150,Mobile,2400,660,581,591,680,617
eba05d27c7,Approved,TRUE,1000,TRUE,12/14/2010 21:09,3,TRUE,13,84321,124000737,Mobile,1880,521,586,636,678,609
418abe2912,Approved,TRUE,450,TRUE,12/15/2010 12:36,8,TRUE,12,84123,124000054,Mobile,2328,573,612,649,682,618
a2b8c6090c,Approved,TRUE,585,TRUE,12/16/2010 8:28,5,TRUE,21,84321,124000054,Mobile,2200,763,540,565,673,599
6c5242f2a5,Approved,TRUE,200,TRUE,12/16/2010 12:43,8,TRUE,12,84119,124001545,Mobile,2550,663,508,501,641,583
d91d47325b,Approved,TRUE,400,TRUE,12/16/2010 16:32,8,TRUE,6,84003,124302150,Mobile,1912,593,601,640,645,614
8effed4b67,Approved,FALSE,1050,FALSE,12/16/2010 19:09,5,TRUE,10,84074,124000737,Mobile,2720,567,546,555,680,594
d7001aa34e,Approved,TRUE,600,TRUE,12/17/2010 5:02,5,TRUE,10,84047,324377516,Mobile,1800,555,511,514,634,579
4.13E+13,Approved,FALSE,490,FALSE,12/17/2010 7:02,5,TRUE,10,84401,124000054,Mobile,3100,749,589,600,680,634
1c2a95e85b,Approved,TRUE,750,TRUE,12/17/2010 7:05,5,TRUE,10,84107,124302150,Mobile,960,754,529,519,649,595
8e65defaac,Approved,FALSE,734,TRUE,12/17/2010 8:54,5,TRUE,10,84120,124002971,Mobile,2500,602,514,550,573,580
ae6db7c42b,Approved,FALSE,954,TRUE,12/17/2010 10:34,8,TRUE,8,84405,324377613,Mobile,3100,754,587,573,680,626
a67b508060,Approved,TRUE,0,FALSE,12/17/2010 12:36,8,TRUE,17,84081,324377516,Mobile,700,760,646,674,740,632
ea7ea919be,Approved,TRUE,400,FALSE,12/17/2010 15:05,5,TRUE,10,84088,324377202,Mobile,2200,734,510,556,653,569
999a3f6650,Approved,TRUE,370,TRUE,12/17/2010 17:42,8,TRUE,12,84121,124302150,Home,1580,663,501,533,643,555
b636e56bca,Approved,FALSE,1350,TRUE,12/18/2010 9:15,6,TRUE,13,84074,324379828,Mobile,3000,602,624,645,681,641
9218a4a50e,Approved,FALSE,888,FALSE,12/18/2010 10:48,5,TRUE,5,84041,124302150,Mobile,1224,522,593,592,680,620
06c99dba63,Approved,TRUE,550,TRUE,12/18/2010 18:29,5,TRUE,5,84119,324377516,Mobile,2394,580,575,551,680,612
254ed2f678,Approved,TRUE,950,TRUE,12/18/2010 20:31,5,TRUE,5,84651,321176260,Mobile,4385,586,550,536,677,599
7d21a8040f,Approved,TRUE,800,TRUE,12/19/2010 7:50,8,TRUE,13,84118,73972181,Mobile,6000,654,517,526,664,570
dfb2f1ec63,Approved,TRUE,1075,TRUE,12/19/2010 16:48,8,TRUE,13,84043,325070760,Mobile,3450,297,610,654,693,629
8f9a8d56a4,Approved,FALSE,600,TRUE,12/20/2010 8:02,5,TRUE,10,84404,124002971,Mobile,1400,532,603,654,659,636
4980ed214e,Approved,FALSE,600,TRUE,12/20/2010 8:35,8,TRUE,13,84065,324379705,Mobile,1500,574,557,582,680,617
2b635765f0,Approved,TRUE,900,TRUE,12/20/2010 8:56,5,TRUE,10,84065,124001545,Mobile,6338,583,558,608,672,605
f52446dd8f,Approved,FALSE,1714,FALSE,12/20/2010 9:42,4,TRUE,4,84121,124001545,Mobile,10000,536,627,660,705,662
ce7456a9e0,Approved,TRUE,600,TRUE,12/20/2010 10:20,7,TRUE,12,84118,324377202,Mobile,1470,645,529,569,665,586
2ac47a61e0,Approved,FALSE,0,TRUE,12/20/2010 10:47,5,TRUE,5,84120,124001545,Home,1327,621,587,607,680,636
56de6d7823,Approved,TRUE,600,TRUE,12/20/2010 11:20,5,TRUE,10,84037,314074269,Mobile,3500,716,515,544,584,575
70409dc892,Approved,FALSE,1142,TRUE,12/20/2010 11:53,5,TRUE,21,84660,314074269,Mobile,2400,681,610,661,656,633
c7e8c1cc92,Approved,TRUE,0,FALSE,12/20/2010 15:46,5,TRUE,10,84047,124002971,Mobile,1800,536,529,543,607,608
977ab97cf0,Approved,FALSE,1308,TRUE,12/20/2010 18:46,5,TRUE,10,84067,124302150,Home,3843,661,657,670,703,650
b1b61133de,Approved,TRUE,0,TRUE,12/21/2010 8:08,8,TRUE,26,84093,124002971,Mobile,2392,580,525,551,666,568
d013fa3f91,Approved,FALSE,800,TRUE,12/21/2010 10:07,4,TRUE,4,84321,124300107,Mobile,3100,616,620,657,721,613
6a4e4b09d5,Approved,FALSE,1600,FALSE,12/21/2010 10:38,5,TRUE,10,84057,124302927,Mobile,2000,528,592,571,680,609
